,Number of Referrals,Tenure in Months,Offer,Internet Service,Contract,Payment Method,Total Charges,Total Revenue,Customer Status
0,2,9,None,Yes,One Year,Credit Card,593.3,974.81,0
1,0,9,None,Yes,Month-to-Month,Credit Card,542.4,610.28,0
2,0,4,Offer E,Yes,Month-to-Month,Bank Withdrawal,280.85,415.45,1
3,1,13,Offer D,Yes,Month-to-Month,Bank Withdrawal,1237.85,1599.51,1
4,3,3,None,Yes,Month-to-Month,Credit Card,267.4,289.54,1
5,0,9,Offer E,Yes,Month-to-Month,Credit Card,571.45,722.38,0
6,1,71,Offer A,Yes,Two Year,Bank Withdrawal,7904.25,8611.41,0
7,8,63,Offer B,Yes,Two Year,Credit Card,5377.8,6214.28,0
8,0,7,Offer E,Yes,Two Year,Bank Withdrawal,340.35,414.06,0
9,3,65,None,Yes,Two Year,Credit Card,5957.9,7807.8,0
10,0,54,None,Yes,Two Year,Credit Card,2460.55,2460.55,0
11,2,72,None,Yes,Two Year,Credit Card,8456.75,9609.47,0
12,0,5,None,Yes,Month-to-Month,Bank Withdrawal,351.5,444.75,0
13,0,72,Offer A,Yes,Two Year,Bank Withdrawal,7261.25,7423.25,0
14,0,56,None,Yes,Two Year,Bank Withdrawal,2560.1,2560.1,0
15,9,71,Offer A,Yes,Two Year,Credit Card,6849.4,8784.86,0
16,0,34,None,Yes,One Year,Credit Card,1993.2,1993.2,0
17,0,1,Offer E,Yes,One Year,Bank Withdrawal,72.1,79.87,0
18,0,45,None,Yes,One Year,Credit Card,2791.5,3271.65,1
19,0,1,None,Yes,Month-to-Month,Bank Withdrawal,25.1,25.1,1
20,0,50,None,No,One Year,Bank Withdrawal,1306.3,2877.8,0
21,1,13,None,Yes,Month-to-Month,Bank Withdrawal,1215.6,1781.88,1
22,1,23,Offer D,Yes,Month-to-Month,Bank Withdrawal,1849.95,2652.88,0
23,0,3,None,No,Month-to-Month,Credit Card,57.2,66.56,0
24,0,4,Offer E,No,Month-to-Month,Credit Card,76.35,126.07,1
25,1,1,None,Yes,Month-to-Month,Bank Withdrawal,30.5,30.5,1
26,10,55,None,Yes,One Year,Bank Withdrawal,5656.75,7603.95,0
27,3,54,None,No,Two Year,Credit Card,1090.6,2154.4,0
28,0,26,Offer C,No,One Year,Bank Withdrawal,471.85,1430.8,0
29,5,69,None,No,Two Year,Bank Withdrawal,1396.9,4045.81,0
30,1,37,Offer C,Yes,One Year,Credit Card,3247.55,4838.92,0
31,5,49,Offer B,No,One Year,Bank Withdrawal,900.9,3330.32,0
32,9,66,None,Yes,One Year,Bank Withdrawal,7942.15,10830.97,0
33,0,67,None,No,One Year,Bank Withdrawal,1343.4,2861.91,0
34,4,20,None,Yes,Two Year,Credit Card,825.4,825.4,0
35,0,43,None,No,Two Year,Bank Withdrawal,1070.15,2387.67,0
